index	gene_name	mean_tpm
ENSG00000080298	RFX3	1628.725480128395
ENSG00000107249	GLIS3	73.3359945282273
ENSG00000176399	DMRTA1	649.4073678492094
ENSG00000197579	TOPORS	3431.395316306105
ENSG00000107175	CREB3	1253.9405464577649
ENSG00000196092	PAX5	664.309292846682
ENSG00000274349	ZNF658	324.8096774887785
ENSG00000119138	KLF9	31.77395216957435
ENSG00000165030	NFIL3	712.506167526391
ENSG00000131668	BARX1	59.685117851295644
ENSG00000119508	NR4A3	29.502285131675848
ENSG00000106852	LHX6	64.8573200525809
ENSG00000186130	ZBTB6	1275.46494123821
ENSG00000106689	LHX2	46.73566321184875
ENSG00000148200	NR6A1	27763.4209891559
ENSG00000167081	PBX3	3295.476506067015
ENSG00000136944	LMX1B	184.2735606099855
ENSG00000171169	NAIF1	459.39394160916197
ENSG00000130711	PRDM12	16.577960897501498
ENSG00000125492	BARHL1	13.41659644713325
ENSG00000165702	GFI1B	16.46082078260225
ENSG00000067082	KLF6	1738.792804595315
ENSG00000148516	ZEB1	1130.7387346093506
ENSG00000095794	CREM	1147.9717073604052
ENSG00000169740	ZNF32	488.854477841756
ENSG00000165606	DRGX	2.01367505473808
ENSG00000150347	ARID5B	364.666297586398
ENSG00000138336	TET1	9407.823179096506
ENSG00000122859	NEUROG3	3.1376526970063345
ENSG00000148606	POLR3A	3883.858130009465
ENSG00000152804	HHEX	139.9950025071995
ENSG00000196233	LCOR	3226.2987829531503
ENSG00000119919	NKX2-3	13.79172854519278
ENSG00000075891	PAX2	135.8282191813725
ENSG00000107807	TLX1	0.889697412469825
ENSG00000138136	LBX1	3.371932926804765
ENSG00000077150	NFKB2	1259.94833463436
ENSG00000119950	MXI1	692.0070527481455
ENSG00000108055	SMC3	11682.66718661635
ENSG00000148737	TCF7L2	3101.2711660958703
ENSG00000095574	IKZF5	1071.4003758179044
ENSG00000188620	HMX3	2.45852376097299
ENSG00000229544	NKX1-2	4649.664063137794
ENSG00000108001	EBF3	141.824658142684
ENSG00000148826	NKX6-2	3.1376526970063345
ENSG00000151650	VENTX	431.7421865625115
ENSG00000185507	IRF7	301.3664546670365
ENSG00000177030	DEAF1	3068.50172561421
ENSG00000183734	ASCL2	32.5702212205069
ENSG00000187079	TEAD1	9508.682439341199
ENSG00000133794	ARNTL	357.283633043927
ENSG00000110693	SOX6	137.44588768851
ENSG00000129173	E2F8	664.9253931049755
ENSG00000007372	PAX6	336.7537132527665
ENSG00000184937	WT1	5.806744934415804
ENSG00000135363	LMO2	71.3223194734892
ENSG00000135373	EHF	4.027350109476155
ENSG00000052850	ALX4	20.5815992536157
ENSG00000025434	NR1H3	644.9769179325796
ENSG00000066336	SPI1	10.044663520328465
ENSG00000185670	ZBTB3	1261.154391422875
ENSG00000172818	OVOL1	82.53696549089925
ENSG00000174576	NPAS4	29.899710331186903
ENSG00000082175	PGR	10.302655503488845
ENSG00000110777	POU2AF1	7.071574444945226
ENSG00000109906	ZBTB16	262.1528892140095
ENSG00000176302	FOXR1	2.01367505473808
ENSG00000172273	HINFP	1234.9348668122
ENSG00000137709	POU2F3	176.54656898236902
ENSG00000188909	BSX	0.0
ENSG00000166261	ZNF202	2201.96846686887
ENSG00000134954	ETS1	2798.82491466035
ENSG00000043039	BARX2	3.1376526970063345
ENSG00000111206	FOXM1	7331.450600507375
ENSG00000197905	TEAD4	3353.13193836344
ENSG00000111653	ING4	663.7122430569016
ENSG00000126746	ZNF384	2644.09863071406
ENSG00000111704	NANOG	5140.62949502244
ENSG00000196946	ZNF705A	3.1376526970063345
ENSG00000123095	BHLHE41	68.69923209089305
ENSG00000029153	ARNTL2	997.569271772897
ENSG00000185610	DBX2	23.3678316059244
ENSG00000189079	ARID2	5775.03664556323
ENSG00000111424	VDR	28.3085908812323
ENSG00000135457	TFCP2	3271.5590481780355
ENSG00000184271	POU6F1	273.2461391607885
ENSG00000139651	ZNF740	2076.17396732166
ENSG00000185591	SP1	7586.7343771705255
ENSG00000170653	ATF7	938.484041015201
ENSG00000123407	HOXC12	1.6859664634023797
ENSG00000037965	HOXC8	89.9613789324525
ENSG00000123307	NEUROD4	76.7093461069428
ENSG00000123411	IKZF4	1522.30753636907
ENSG00000139613	SMARCC2	4217.584642749691
ENSG00000170581	STAT2	1809.645144957295
ENSG00000166888	STAT6	2406.305210791445
ENSG00000175197	DDIT3	85.39291445138326
ENSG00000149948	HMGA2	26245.9143735167
ENSG00000165891	E2F7	2868.091810180025
ENSG00000111046	MYF6	4.7064790455095
ENSG00000120798	NR2C1	2053.62753517194
ENSG00000012504	NR1H4	0.0
ENSG00000139352	ASCL1	141.24037622009828
ENSG00000120837	NFYB	3261.14776447111
ENSG00000110851	PRDM4	1550.733267365205
ENSG00000111249	CUX2	515.4965580572165
ENSG00000089116	LHX5	380.09231313253804
ENSG00000089225	TBX5	8.47583717182526
ENSG00000089094	KDM2B	7047.076150431155
ENSG00000175727	MLXIP	3149.482227294685
ENSG00000179195	ZNF664	6783.156026265724
ENSG00000122034	GTF3A	3094.1939170432797
ENSG00000169840	GSX1	35.2630252112783
ENSG00000120669	SOHLH2	32.2885174839846
ENSG00000120693	SMAD9	185.0475365594665
ENSG00000125285	SOX21	1584.37477344273
ENSG00000139800	ZIC5	4256.8399571018
ENSG00000043355	ZIC2	12114.460039318501
ENSG00000165804	ZNF219	6775.718439627861
ENSG00000165821	SALL2	20507.54440789795
ENSG00000092067	CEBPE	1.6859664634023797
ENSG00000215271	HOMEZ	998.6642683832749
ENSG00000136367	ZFHX2	2710.895653257475
ENSG00000129535	NRL	47.46079700269545
